ride_date,station_id,daily_ridership,raw_text_field,subway_ridership,bus_ridership,lirr_ridership,metro_north_ridership,access_a_ride_ridership,bridges_tunnels_ridership,pre_pandemic_comparison
2020-03-01,1,100000,MTA Aggregate,100000,100000,86790,55825,0,0,52
2020-03-02,1,100000,MTA Aggregate,100000,100000,100000,100000,0,0,107
2020-03-03,1,100000,MTA Aggregate,100000,100000,100000,100000,0,0,109
2020-03-04,1,100000,MTA Aggregate,100000,100000,100000,100000,0,0,107
2020-03-05,1,100000,MTA Aggregate,100000,100000,100000,100000,0,0,108
2020-03-06,1,100000,MTA Aggregate,100000,100000,100000,100000,0,0,96
2020-03-07,1,100000,MTA Aggregate,100000,100000,100000,75838,0,0,48
2020-03-08,1,100000,MTA Aggregate,100000,100000,81565,60800,0,0,53
2020-03-09,1,100000,MTA Aggregate,100000,100000,100000,100000,0,0,101
2020-03-10,1,100000,MTA Aggregate,100000,100000,100000,100000,0,0,99
2020-03-11,1,100000,MTA Aggregate,100000,100000,100000,100000,0,0,96
2020-03-12,1,100000,MTA Aggregate,100000,100000,100000,100000,0,0,89
2020-03-13,1,100000,MTA Aggregate,100000,100000,100000,100000,0,0,74
2020-03-14,1,100000,MTA Aggregate,100000,100000,44885,39701,0,0,42
2020-03-15,1,100000,MTA Aggregate,100000,100000,33407,32641,0,0,43
2020-03-16,1,100000,MTA Aggregate,100000,100000,100000,100000,0,0,36
2020-03-17,1,100000,MTA Aggregate,100000,100000,83578,100000,0,0,29
2020-03-18,1,100000,MTA Aggregate,100000,100000,74883,100000,0,0,26
2020-03-19,1,100000,MTA Aggregate,100000,100000,59538,100000,0,0,22
2020-03-20,1,100000,MTA Aggregate,100000,100000,50021,100000,0,0,20
2020-03-21,1,100000,MTA Aggregate,100000,100000,12438,23700,0,0,21
2020-03-22,1,100000,MTA Aggregate,100000,73517,8891,20830,0,0,20
2020-03-23,1,100000,MTA Aggregate,100000,59321,30564,100000,0,0,10
2020-03-24,1,100000,MTA Aggregate,100000,60334,29785,100000,0,0,11
2020-03-25,1,100000,MTA Aggregate,100000,51769,26143,100000,0,0,10
2020-03-26,1,100000,MTA Aggregate,100000,49970,23809,100000,0,0,10
2020-03-27,1,100000,MTA Aggregate,100000,45514,20355,100000,0,0,9
2020-03-28,1,100000,MTA Aggregate,100000,19745,5279,19088,0,0,12
2020-03-29,1,100000,MTA Aggregate,100000,14307,4358,18152,0,0,13
2020-03-30,1,100000,MTA Aggregate,100000,33659,19741,100000,0,0,7
2020-03-31,1,100000,MTA Aggregate,100000,32211,16194,100000,0,0,7
2020-04-01,1,100000,MTA Aggregate,100000,29373,10548,9300,0,0,4
2020-04-02,1,100000,MTA Aggregate,100000,26788,10057,9492,0,0,5
2020-04-03,1,100000,MTA Aggregate,100000,24418,9657,9770,0,0,5
2020-04-04,1,100000,MTA Aggregate,100000,13168,3727,4451,0,0,8
2020-04-05,1,100000,MTA Aggregate,100000,9748,2969,3601,0,0,9
2020-04-06,1,100000,MTA Aggregate,100000,22418,10127,9832,0,0,5
